,ensembl_gene_id,prev_symbol,symbol
613,ENSG00000184675,FAM123B,AMER1
614,ENSG00000165566,FAM123A,AMER2
615,ENSG00000178171,FAM123C,AMER3
616,ENSG00000159461,,AMFR
617,ENSG00000104899,,AMH
618,ENSG00000135409,,AMHR2
619,ENSG00000181754,,AMIGO1
620,ENSG00000139211,,AMIGO2
621,ENSG00000176020,,AMIGO3
622,ENSG00000101935,,AMMECR1
623,ENSG00000144233,,AMMECR1L
624,ENSG00000166126,,AMN
625,ENSG00000151743,,AMN1
626,ENSG00000126016,,AMOT
627,ENSG00000166025,,AMOTL1
628,ENSG00000114019,,AMOTL2
629,ENSG00000116748,,AMPD1
630,ENSG00000116337,,AMPD2
631,ENSG00000133805,,AMPD3
632,ENSG00000078053,,AMPH
633,ENSG00000145020,,AMT
634,ENSG00000187689,,AMTN
635,ENSG00000237763,AMY1,AMY1A
636,ENSG00000174876,AMY1,AMY1B
637,ENSG00000187733,AMY1,AMY1C
638,ENSG00000243480,AMY2,AMY2A
639,ENSG00000240038,AMY2,AMY2B
640,ENSG00000174945,,AMZ1
641,ENSG00000196704,,AMZ2
642,ENSG00000153107,,ANAPC1
643,ENSG00000176248,,ANAPC2
644,ENSG00000053900,,ANAPC4
645,ENSG00000089053,,ANAPC5
646,ENSG00000196510,,ANAPC7
647,ENSG00000164162,,ANAPC10
648,ENSG00000141552,,ANAPC11
649,ENSG00000129055,,ANAPC13
650,ENSG00000110200,C11orf51,ANAPC15
651,ENSG00000166295,C10orf104,ANAPC16
652,ENSG00000214274,,ANG
653,ENSG00000013523,KIAA0759,ANGEL1
654,ENSG00000174606,,ANGEL2
655,ENSG00000154188,,ANGPT1
656,ENSG00000091879,,ANGPT2
657,ENSG00000101280,,ANGPT4
658,ENSG00000116194,ANGPT3,ANGPTL1
659,ENSG00000136859,,ANGPTL2
660,ENSG00000132855,ANGPT5,ANGPTL3
661,ENSG00000167772,,ANGPTL4
662,ENSG00000187151,,ANGPTL5
663,ENSG00000130812,,ANGPTL6
664,ENSG00000171819,,ANGPTL7
665,ENSG00000130173,C19orf80,ANGPTL8
666,ENSG00000227059,,ANHX
667,ENSG00000029534,ANK,ANK1
668,ENSG00000145362,LQT4,ANK2
669,ENSG00000151150,,ANK3
670,ENSG00000151687,,ANKAR
671,ENSG00000166839,,ANKDD1A
672,ENSG00000189045,,ANKDD1B
